SQL>
SQL> select di.owner
  2       , dic.column_name
  3       , dic.column_position
  4       , di.table_name
  5       , di.index_name
  6       , di.index_type
  7       , di.uniqueness
  8       , di.num_rows
  9       , di.sample_size
 10       , di.last_analyzed
 11       , di.global_stats
 12       , di.initial_extent
 13       , di.max_extents
 14       , di.next_extent
 15    from user_tables ut
 16         inner join dba_indexes di on di.table_name = ut.table_name
 17         inner join dba_ind_columns dic on dic.index_name = di.index_name
 18   --where ut.table_name like 'LBM_CLIENT_TOP'
 19  ;

OWNER                          COLUMN_NAME                    COLUMN_POSITION TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      CODECLASSPROD0                               6 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECLASSPROD1                               7 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECLASSPROD2                               8 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECLASSPROD3                               9 HISTO_STOCK_SITE               HISTO_STOCK_SITE_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEMAGASIN                                  1 HISTO_VENTES_ARTICLE_MAG       HISTO_VENTES_ARTICLE_MAG_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         393216  2147483645     1048576
STORELAND                      CODEINTERNEARTICLE                           2 HISTO_VENTES_ARTICLE_MAG       HISTO_VENTES_ARTICLE_MAG_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         393216  2147483645     1048576
STORELAND                      JOURDEVENTE                                  3 HISTO_VENTES_ARTICLE_MAG       HISTO_VENTES_ARTICLE_MAG_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         393216  2147483645     1048576
STORELAND                      CODECOMPOSANT                                1 IMAGES_COMPOSANTS_COLORIS      IMAGES_COMPOSANTS_COLORIS_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOLORIS                                  2 IMAGES_COMPOSANTS_COLORIS      IMAGES_COMPOSANTS_COLORIS_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      NUMIMAGE                                     3 IMAGES_COMPOSANTS_COLORIS      IMAGES_COMPOSANTS_COLORIS_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
