STORELAND.Table_name                        Rows_count
LBM_ECARTS_KS                                1,139,480
LBM_FF_ARTCODE                                 326,611
LBM_FF_FULL_VBE                                  8,190
LBM_FF_SUPP                                    105,034
LBM_FF_VBE                                           0
LBM_GESTION_CARTES_CHGT_NIVEAU                  95,619
LBM_GPE_MAGASIN                              1,158,002
LBM_HIERARCHIE                                  10,147
LBM_HISTO_STATSCLIENT                           36,678
LBM_INT_ADRESSES_CLIENT                              1
LBM_INT_CARTE_FIDELITE_CLIENT                        2
LBM_INT_CLIENTS                                      1
LBM_INT_CLIENTS_GPE_MAGASIN                          3
LBM_INT_CLIENTS_REJETS                           7,150
LBM_INT_STATS_CLIENT                                10
LBM_LOGS                                       421,859
LBM_LOG_CLIENTS                                      0
LBM_LOG_PERSONNELS                              81,583
LBM_MESSAGE_ID                                 616,366
LBM_PARAM_INTERFACE                                  1
LBM_PARAM_INTERFACE_CLI                              6
LBM_PARAM_PURGE                                     31
LBM_PHI                                         54,776
LBM_PRELEVEMENTS                                 3,678
LBM_REAF_CARTE                                       0
LBM_REGLEMENT                                        0
LBM_REMISE_LIGNE                                     0
LBM_RENVOI_RUPTURE_TICKET                            1
LBM_REPRISE_CHKDO                              126,836
LBM_RESERVATIONS_A_EXTRAIRE                          0
LBM_RUPTURETICKET                                  218
LBM_STATS                                    6,500,413
LBM_STATS_PRODUIT                               93,997
LBM_STATUS_CAISSE                                2,025
LBM_SUIVI_BATCH_INTEGRATION                  3,345,420
LBM_TARIF                                    7,489,367
LBM_TARIF_EN_ERREUR                          1,133,656
LBM_TARIF_GROUPE_MAGASIN                            25
LBM_TARIF_PFL                                   12,588
LBM_TICKETS_JP                                       0
LBM_TICKET_A_EXTRAIRE                              113
LBM_TICKET_EXTRAIT                             744,503
LBM_TICKET_REVISION                              3,263
LBM_TMP_ERI_ETO                                  1,387
LBM_TYPERECHERCHE_CLI                                3
LBM_TYPE_REMISE                                     21
LBM_VENTE_ACT_MKT                           16,605,339
LBM_VENTE_ACT_MKT_REPONSES                   7,173,455
LBM_VENTE_ATTRIBUTS                              4,610
LBM_VENTE_ENTETE                            14,136,753
LBM_VENTE_ENTETE_ARCHIVE                             0
LBM_VENTE_ENTETE_UNITAIRE                            0
LBM_VENTE_POSTE                             53,640,612
LBM_VENTE_POSTE_ARCHIVE                              0
LBM_VENTE_REGLEMENT                         14,642,183
LBM_VENTE_REGLEMENT_ARCHIVE                          0
LECTEURS_MESSAGE                                     0
LETTRES_CREDIT                                       0
LIENS_PLAN_COLLECTION                                0
LIENS_PLAN_COLLECTION_PAYS                           0
LIEUX_TRANSPORT                                      0
LIGNES_ADRESSAGE_TROLLEY_RADIO                       0
LIGNES_AVANTAGE_ACTION_MKT                         123
LIGNES_AVOIR_NEG                                     0
LIGNES_BON_PRET                                      0
LIGNES_BUDGET_ACHATS                                 0
LIGNES_CADRAGE_PLAN_COLLECTION                       0
LIGNES_CALCUL_PLAN_ASSORTIMENT                       0
LIGNES_CATALOGUE_NEG                                 0
LIGNES_CDE_DOCPROFORMAT                              0
LIGNES_CDE_MAG_COLIS                                 0
LIGNES_CDE_MAG_DEPOT                                 0
LIGNES_CIBLE_IMPLANTATION                          651
LIGNES_CMD_COLIS_A_PREPARER                          0
LIGNES_COLISAGE_STANDARD                             0
LIGNES_COMMANDE                                      0
LIGNES_COMMANDES_A_PREPARER                          0
LIGNES_COMMANDES_NEG                                 0
LIGNES_COMMANDE_CALC                                 0
LIGNES_COMMANDE_COLISAGE                             0
LIGNES_COMMANDE_COLIS_CALC                           0
LIGNES_COMMANDE_MAGASIN                              0
LIGNES_COMMANDE_OBS                                  0
LIGNES_COMMANDE_RELANCE_FRN                          0
LIGNES_COMMANDE_WEB                                  0
LIGNES_COMMANDE_WST                                  0
LIGNES_CONDITION_ACTION_MKT                        361
LIGNES_COND_NATURE_ACTION_MKT                      121
LIGNES_DECHARGT_PORTABLE_MAG                         0
LIGNES_DEMANDE_TRF_MAGASIN                           0
