SQL>
SQL> select di.owner
  2       , di.table_name
  3       , di.index_name
  4       , di.index_type
  5       , di.uniqueness
  6       , di.num_rows
  7       , di.sample_size
  8       , di.last_analyzed
  9       , di.global_stats
 10       , di.initial_extent
 11       , di.max_extents
 12       , di.next_extent
 13    from user_tables ut
 14         inner join dba_indexes di on di.table_name = ut.table_name
 15  ;

OWNER                          TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      SURCOUTS_ACHAT_DEPOT           SURCOUTS_ACHAT_DEPOT_PK        NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_EXCLU           SURCOUTS_ACHAT_EXCLU_PK        NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_FRN             SURCOUTS_ACHAT_FRN_FK1         NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      SURCOUTS_ACHAT_FRN             SURCOUTS_ACHAT_FRN_PK          NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      COURBES_DE_VIE                 COURBES_DE_VIE_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      COUTS_ACTION_MARKETING         COUTS_ACTION_MARKETING_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LIGNES_TRK_PDT_DETAIL_JALON    LIGNES_TRK_PDT_DETAIL_JAL_FK1  NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      LIGNES_TROLLEY                 LIGNES_TROLLEY_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LIGNES_TROLLEY_RUPTURE         LIGNES_TROLLEY_RUPTURE_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LIGNES_TROLLEY_TEMP            LIGNES_TROLLEY_TEMP_PK         NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LIGNES_VAGUE_TRIEUSE           LIGNES_VAGUE_TRIEUSE_PK        NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      LIGNES_VIDAGE_RADIO            LIGNES_VIDAGE_RADIO_PK         NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      LISTE_PL_CALCUL_AXE_CLIENT     LISTE_PL_CALCUL_AXE_CLIENT_PK  NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LISTES_PICKING                 LISTES_PICKING_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LISTES_PICKING                 LISTES_PICKING_FK1             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LISTES_PICKING                 LISTES_PICKING_FK2             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      LISTES_PICKING_COLIS           LISTES_PICKING_COLIS_FK1       NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
